District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,Student Open Date,School ID,State
Coventry School District,George Hersey Robertson School,Public Schools,320411,227 Cross Street,Coventry,6238,860-742-7341,01-07-1984,843,CT
Redding School District,Redding Elementary School,Public Schools,1170111,33 Lonetown Rd.,Redding,6896,203-938-2519,01-07-1984,844,CT
Wallingford School District,Pond Hill School,Public Schools,1481211,299 Pond Hill Road,Wallingford,6492,203-294-6230,01-07-1984,845,CT
Ledyard School District,Gallup Hill School,Public Schools,720411,169 Gallup Hill Rd.,Ledyard,6339,860-536-9477,01-07-1984,846,CT
Westport School District,Coleytown Elementary School,Public Schools,1580311,65 Easton Rd.,Westport,6880,203-341-1710,01-07-1984,847,CT
Bristol School District,West Bristol School,Public Schools,172011,500 Clark Avenue,Bristol,6010,860-584-7815,01-07-2012,848,CT
Groton School District,Thames River Magnet School,Public Schools,591711,154 Toll Gate Road,Groton,6340,860-980-8230,01-07-1984,849,CT
West Hartford School District,Hall High School,Public Schools,1556211,975 North Main St.,West Hartford,6117,860-232-4561,01-07-1984,850,CT
Shelton School District,Elizabeth Shelton School,Public Schools,1260511,138 Willoughby Rd.,Shelton,6484,203-929-1330,01-07-1984,851,CT
Lebanon School District,Lebanon Middle School,Public Schools,715111,891 Exeter Rd.,Lebanon,6249,860-642-4702,01-07-1997,852,CT
Connecticut Technical Education and Career System,Windham Technical High School,CT Technical Education and Career Schools,9002416,210 Birch St.,Willimantic,6226,860-456-3879,01-07-2000,853,CT
Fairfield School District,Dwight Elementary School,Public Schools,510111,1600 Redding Rd.,Fairfield,6824,203-255-8312,01-07-1984,854,CT
Regional School District 18,Lyme-Old Lyme Middle School,Regional Schools,2185112,53 Lyme St.,Old Lyme,6371,860-434-2568,01-07-2002,855,CT
Greenwich School District,North Street School,Public Schools,570811,381 North St.,Greenwich,6830,203-869-6756,01-07-1984,856,CT
Wilton School District,Middlebrook School,Public Schools,1615211,131 School Rd.,Wilton,6897,203-762-8388,01-07-1984,857,CT
Bridgeport School District,Bridgeport School District,Public School Districts,150011,"45 Lyon Terrace, Rm 303",Bridgeport,6604,203-275-1037,01-07-1996,858,CT
Regional School District 10,Lake Garda Elementary School,Regional Schools,2100212,61 Monce Rd.,Burlington,6013,860-673-2511,01-07-2002,859,CT
Bridgeport School District,Madison School,Public Schools,152011,376 Wayne St.,Bridgeport,6606,203-576-7186,01-07-1984,860,CT
East Granby School District,East Granby Middle School,Public Schools,405111,95 South Main St.,East Granby,6026,860-653-7113,01-07-1984,861,CT
Oxford School District,Oxford High School,Public Schools,1086011,61 Quaker Farms Rd.,Oxford,6478,203-888-2468,31-08-2007,862,CT
Danbury School District,Danbury High School,Public Schools,346111,43 Clapboard Ridge Rd.,Danbury,6811,203-797-4803,01-07-1984,863,CT
Stamford School District,Newfield School,Public Schools,1350611,345 Pepper Ridge Rd.,Stamford,6905,203-977-4282,01-07-1984,864,CT
Darien School District,Holmes Elementary School,Public Schools,350711,18 Hoyt St.,Darien,6820,203-353-4371,01-07-1996,865,CT
Groton School District,Robert E. Fitch High School,Public Schools,596111,101 Groton Long Point Road,Groton,6340,860-449-7200,01-07-1984,866,CT
Unified School District #1,Robinson Correctional Institution,State Agency Facilities,3361315,"285 Shaker Rd, P.O. Box 1400",Enfield,6082,860-253-8392,01-07-2000,867,CT
Unified School District #1,Manson Youth Institution,State Agency Facilities,3361115,42 Jarvis St.,Cheshire,6410,203-806-2570,01-07-2000,868,CT
Mansfield School District,Mansfield School District,Public School Districts,780011,4 South Eagleville Road,Storrs,6268,860-429-3350,01-07-1996,869,CT
Barkhamsted School District,Barkhamsted Elementary School,Public Schools,50111,65 Ripley Hill Rd.,Barkhamsted,6063,860-379-2729,01-07-1984,870,CT
Regional School District 06,Regional School District 06,Regional School Districts,2060012,35 Wamogo Road,Litchfield,6759,860-567-7400,01-07-2002,871,CT
Hartford School District,Milner Middle School,Public Schools,641911,150 Tower Avenue,Hartford,6112,860-695-4380,01-07-1984,872,CT
Ridgefield School District,Scotts Ridge Middle School,Public Schools,1185211,750 North Salem Rd.,Ridgefield,6877,203-894-5725,01-07-2002,873,CT
Naugatuck School District,Salem School,Public Schools,880611,124 Meadow St.,Naugatuck,6770,203-720-5242,01-07-1984,874,CT
Thomaston School District,Thomaston High School,Public Schools,1406211,185 Branch Rd.,Thomaston,6787,860-283-3030,01-07-1984,875,CT
Norwich Free Academy District,Norwich Free Academy,Endowed and Incorporated Academies Schools,9016122,305 Broadway,Norwich,6360,860-887-2505,01-07-2000,876,CT
Middletown School District,Farm Hill School,Public Schools,830511,390 Ridge Rd.,Middletown,6457,860-346-1225,01-07-1984,877,CT
Cheshire School District,Doolittle School,Public Schools,250611,735 Cornwall Ave.,Cheshire,6410,203-272-3549,01-07-1984,878,CT
Guilford School District,E. C. Adams Middle School,Public Schools,605111,233 Church St.,Guilford,6437,203-453-2755,01-07-1984,879,CT
Middletown School District,Middletown High School,Public Schools,836211,200 LaRosa Lane,Middletown,6457,860-704-4500,01-07-1984,880,CT
Newington School District,Elizabeth Green School,Public Schools,940211,30 Thomas St.,Newington,6111,860-666-3394,01-07-1984,881,CT
West Hartford School District,Sedgwick Middle School,Public Schools,1555211,128 Sedgwick Rd.,West Hartford,6107,860-570-6500,01-07-1984,882,CT
Stamford School District,Stamford High School,Public Schools,1356111,55 Strawberry Hill Ave.,Stamford,6902,203-977-4223,01-07-1984,883,CT
Hartford School District,Dwight-Bellizzi Dual Language Academy,Public Schools,640711,215 South Street,Hartford,6114,860-695-2400,01-07-1984,884,CT
Learn,Regional Multicultural Magnet School,Regional Education Service Center Schools,2450114,One Bulkeley Place,New London,6320,860-437-7775,01-07-2000,885,CT
Connecticut Technical Education and Career System,Henry Abbott Technical High School,CT Technical Education and Career Schools,9001216,21 Hayestown Ave.,Danbury,6811,203-797-4460,01-07-2000,886,CT
Norwalk School District,Nathan Hale Middle School,Public Schools,1035211,176 Strawberry Hill Avenue,Norwalk,6851,203-899-2910,01-07-1984,887,CT
Connecticut Technical Education and Career System,Eli Whitney Technical High School,CT Technical Education and Career Schools,9001416,100 Fairview Ave,Hamden,6514,203-397-4031,01-07-2000,888,CT
New Haven School District,Ross/Woodward School,Public Schools,931011,185 Barnes Ave.,New Haven,6513,475-220-3100,01-07-2004,889,CT
Waterbury School District,Carrington School,Public Schools,1512711,24 Kenmore Ave.,Waterbury,6708,203-574-8184,01-07-1984,890,CT
Bloomfield School District,Bloomfield School District,Public School Districts,110011,1133 Blue Hills Avenue,Bloomfield,6002,860-769-4200,01-07-1996,891,CT
Shelton School District,Perry Hill Elementary School,Public Schools,1261111,60 Perry Hill Road,Shelton,6484,203-924-4002,01-09-2010,892,CT
Guilford School District,A. W. Cox School,Public Schools,600611,143 Three Mile Course,Guilford,6437,203-453-5291,01-07-1984,893,CT
Putnam School District,Putnam Elementary School,Public Schools,1160311,33 Wicker St.,Putnam,6260,860-963-6925,01-07-1984,894,CT
Integrated Day Charter School District,Integrated Day Charter School District,Public Charter School Districts,2640013,68 Thermos Ave.,Norwich,6360,860-892-1900,01-07-1999,895,CT
Norwich School District,Uncas Elementary School,Public Schools,1041911,280 Elizabeth St.,Norwich,6360,860-823-4208,01-07-1984,896,CT
Wolcott School District,Wolcott High School,Public Schools,1666111,457 Bound Line Rd.,Wolcott,6716,203-879-8164,01-07-1984,897,CT
North Branford School District,North Branford High School,Public Schools,996111,49 Caputo Rd.,North Branford,6471,203-484-1465,01-07-1984,898,CT
Connecticut Technical Education and Career System,A. I. Prince Technical High School,CT Technical Education and Career Schools,9001516,401 Flatbush Ave.,Hartford,6106,860-951-7112,01-07-2000,899,CT
Cromwell School District,Edna C. Stevens School,Public Schools,330211,25 Court St.,Cromwell,6416,860-632-4866,01-07-1984,900,CT
Newtown School District,Hawley Elementary School,Public Schools,970111,29 Church Hill Rd.,Newtown,6470,203-426-7666,01-07-1984,901,CT
Regional School District 10,Regional School District 10,Regional School Districts,2100012,24 Lyon Road,Burlington,6013,860-673-2538,01-07-2002,902,CT
Trumbull School District,Madison Middle School,Public Schools,1445111,4630 Madison Ave.,Trumbull,6611,203-452-4499,01-07-1984,903,CT
Avon School District,Pine Grove School,Public Schools,40411,151 Scoville Rd.,Avon,6001,860-404-4790,01-07-1990,904,CT
Salisbury School District,Salisbury School District,Public School Districts,1220011,45 Lincoln City Road,Lakeville,6039,860-435-9871,01-07-1996,905,CT
Bridgeport School District,Waltersville School,Public Schools,153011,150 Hallett Street,Bridgeport,6608,203-275-2400,01-07-1984,906,CT
Danbury School District,Broadview Middle School,Public Schools,345111,72 Hospital Ave.,Danbury,6810,203-797-4861,01-07-1984,907,CT
Regional School District 18,Regional School District 18,Regional School Districts,2180012,49 Lyme Street,Old Lyme,6371,860-434-7238,01-07-2002,908,CT
Westport School District,Staples High School,Public Schools,1586111,70 North Ave.,Westport,6880,203-341-1210,01-07-1984,909,CT
Odyssey Community School District,Odyssey Community School,Public Charter Schools,2635113,579 Middle Tpke West,Manchester,6040,860-645-1234,01-07-1997,910,CT
Hartford School District,Hartford Public High School,Public Schools,646211,55 Forest Street,Hartford,6105,860-695-1300,01-07-2019,911,CT
Windsor School District,Poquonock Elementary School,Public Schools,1640511,1760 Poquonock Ave.,Windsor,6095,860-687-2080,01-07-1984,912,CT
Greenwich School District,International School At Dundee,Public Schools,571311,55 Florence Rd.,Riverside,6878,203-637-3800,01-07-1999,913,CT
Meriden School District,Meriden School District,Public School Districts,800011,"22 Liberty Street, Box 848",Meriden,6450,203-630-4171,01-07-1996,914,CT
New Haven School District,Cooperative High School - Inter-District Magnet,Public Schools,936411,177 College Street,New Haven,6511,475-220-2400,01-07-1987,915,CT
New Milford School District,Northville Elementary School,Public Schools,960811,22 Hipp Rd.,New Milford,6776,860-355-3713,01-07-1984,916,CT
North Branford School District,North Branford Intermediate School,Public Schools,995111,654 Foxon Rd.,North Branford,6471,203-484-1500,01-07-1984,917,CT
Columbia School District,Columbia School District,Public School Districts,300011,3 Schoolhouse Road,Columbia,6237,860-228-9493,01-07-1996,918,CT
Naugatuck School District,Naugatuck School District,Public School Districts,880011,497 Rubber Avenue,Naugatuck,6770,203-720-5265,01-07-1996,919,CT
Bozrah School District,Fields Memorial School,Public Schools,130111,8 Bozrah St. Ext.,Bozrah,6334,860-887-2561,01-07-1984,920,CT
Vernon School District,Rockville High School,Public Schools,1466111,70 Loveland Hill,Vernon,6066,860-870-6050,01-07-1984,921,CT
Trumbull School District,Middlebrook School,Public Schools,1440311,220 Middlebrooks Ave.,Trumbull,6611,203-452-4411,01-07-1984,922,CT
Wilton School District,Miller-Driscoll School,Public Schools,1610511,217 Wolfpit Rd.,Wilton,6897,203-762-8678,01-07-1984,923,CT
Tolland School District,Tolland School District,Public School Districts,1420011,51 Tolland Grn,Tolland,6084,860-870-6850,01-07-1984,924,CT
Ellington School District,Ellington High School,Public Schools,486111,37 Maple St.,Ellington,6029,860-896-2352,01-07-1984,925,CT
Middletown School District,Snow School,Public Schools,831111,299 Wadsworth St.,Middletown,6457,860-347-2579,01-07-1984,926,CT
East Haven School District,East Haven High School,Public Schools,446111,35 Wheelbarrow Ln.,East Haven,6513,203-468-3254,01-07-1984,927,CT
Meriden School District,John Barry School,Public Schools,800511,124 Columbia St.,Meriden,6450,203-237-8831,01-07-1984,928,CT
Regional School District 16,Laurel Ledge School,Regional Schools,2160112,30 Highland Ave.,Beacon Falls,6403,203-729-5355,01-07-2002,929,CT
Bristol School District,Bristol Central High School,Public Schools,176111,480 Wolcott St.,Bristol,6010,860-584-7735,01-07-1984,930,CT
Unified School District #1,Unified School District #1,State Agencies,3360015,24 Wolcott Hill Road,Wethersfield,6109,860-692-7537,01-07-2000,931,CT
Hartford School District,Kinsella Magnet School of Performing Arts: PK-8 Campus,Public Schools,641111,65 Van Block Avenue,Hartford,6106,860-695-4140,01-07-1984,932,CT
New Haven School District,Truman School,Public Schools,932911,114 Truman St.,New Haven,6519,475-220-2100,01-07-1984,933,CT
Watertown School District,Polk School,Public Schools,1530411,435 Buckingham St.,Oakville,6779,860-945-4840,01-07-1984,934,CT
New Haven School District,Beecher School,Public Schools,930311,100 Jewel Street,New Haven,6511,475-220-3800,01-07-1984,935,CT
Bristol School District,Bristol School District,Public School Districts,170011,"129 Church Street, Box 450",Bristol,6011,860-584-7000,01-07-1996,936,CT
Milford School District,West Shore Middle School,Public Schools,845311,70 Kay Ave.,Milford,6460,203-783-3553,01-07-1997,937,CT
East Haddam School District,Nathan Hale-Ray Middle School,Public Schools,415111,73 Clark Gates Rd.,Moodus,6469,860-873-5081,01-08-2008,938,CT
Oxford School District,Quaker Farms School,Public Schools,1080311,30 Great Oak Rd.,Oxford,6478,203-888-5842,01-07-1990,939,CT
Park City Prep Charter School District,Park City Prep Charter School District,Public Charter School Districts,2830013,1550 State Street,Bridgeport,6605,203-953-3766,01-07-2006,940,CT
Westport School District,Bedford Middle School,Public Schools,1585111,88 North Ave.,Westport,6880,203-341-1510,01-07-1984,941,CT
Plymouth School District,Harry S. Fisher Elementary School,Public Schools,1110411,79 North Main Street,Terryville,6786,860-314-2770,02-09-2008,942,CT
Waterbury School District,B. W. Tinker School,Public Schools,1512111,809 Highland Ave.,Waterbury,6708,203-574-8186,01-07-1984,943,CT
New Canaan School District,West School,Public Schools,900311,769 Ponus Ridge,New Canaan,6840,203-594-4410,01-07-1984,944,CT
Newington School District,John Wallace Middle School,Public Schools,945311,71 Halleran Dr.,Newington,6111,860-667-5888,01-07-1984,945,CT
Montville School District,Leonard J. Tyl Middle School,Public Schools,865111,166 Chesterfield Rd.,Oakdale,6370,860-848-2822,01-07-1992,946,CT
Somers School District,Mabelle B. Avery Middle School,Public Schools,1295111,1 Vision Boulevard,Somers,6071,860-749-2270,01-07-1997,947,CT
Connecticut Technical Education and Career System,Connecticut Technical Education and Career System,CT Technical Education and Career Districts,9000016,39 Woodland Street,Hartford,6105,860-807-2200,01-07-1999,948,CT
Wallingford School District,Mark T. Sheehan High School,Public Schools,1486211,142 Hope Hill Road,Wallingford,6492,203-294-5900,01-07-1984,949,CT
East Hartford School District,Dr. John A. Langford School,Public Schools,432211,61 Alps Dr.,East Hartford,6108,860-622-5700,01-07-1984,950,CT
Area Cooperative Educational Services,Wintergreen Interdistrict Magnet School,Regional Education Service Center Schools,2440314,88 Bassett Road,North Haven,6473,203-281-9668,01-07-2000,951,CT
Brookfield School District,Huckleberry Hill Elementary School,Public Schools,180411,100 Candlewood Lake Rd.,Brookfield,6804,203-775-7675,01-07-1997,952,CT
Unified School District #1,Willard/Cybulski Correctional Institution,State Agency Facilities,3361515,391 Shaker Rd.,Enfield,6082,860-763-6190,01-07-2000,953,CT
Windsor School District,Oliver Ellsworth School,Public Schools,1640911,730 Kennedy Ave.,Windsor,6095,860-687-2070,01-07-1984,954,CT
Hartford School District,"M. L. King, Jr. Middle School",Public Schools,641611,25 Ridgefield Street,Hartford,6112,860-695-3980,01-07-1984,955,CT
Thompson School District,Tourtellotte Memorial High School,Public Schools,1416111,785 Riverside Dr.,North Grosvenordale,6255,860-923-9303,01-07-1984,956,CT
Capitol Region Education Council,Reggio Magnet School of the Arts,Regional Education Service Center Schools,2410314,59 Waterville Road,Avon,6001,860-674-8549,02-09-2008,957,CT
New London School District,Science and Technology Magnet Pathway for Middle Grades,Public Schools,951211,36 Waller Avenue,New London,6320,860-437-6480,01-07-2021,958,CT
Preston School District,Preston School District,Public School Districts,1140011,1 Route 164,Preston,6365,860-889-6098,01-07-1996,959,CT
West Haven School District,Savin Rock Community School,Public Schools,1561411,50 Park St.,West Haven,6516,203-931-6850,01-07-1984,960,CT
Stonington School District,Stonington School District,Public School Districts,1370011,40 Field Street,Pawcatuck,6379,860-572-0506,01-07-1996,961,CT
West Haven School District,Carrigan 5/6 Intermediate School,Public Schools,1565311,2 Tetlow St.,West Haven,6516,203-937-4390,01-07-1984,962,CT
New Britain School District,Vance Elementary School,Public Schools,891511,183 Vance St.,New Britain,6052,860-225-8731,01-07-1984,963,CT
Griswold School District,Griswold School District,Public School Districts,580011,211 Slater Avenue,Griswold,6351,860-376-7600,01-07-1996,964,CT
Waterbury School District,Wendell L. Cross School,Public Schools,1510811,1255 Hamilton Ave.,Waterbury,6706,203-574-8171,01-07-1984,965,CT
Sherman School District,Sherman School,Public Schools,1270111,2 Route 37 East,Sherman,6784,860-355-3793,01-07-1984,966,CT
Bolton School District,Bolton Center School,Public Schools,120111,108 Notch Rd.,Bolton,6043,860-643-2411,01-07-1984,967,CT
Greenwich School District,Cos Cob School,Public Schools,570211,300 East Putnam Ave.,Cos Cob,6807,203-869-4670,01-07-1984,968,CT
Bethel School District,Frank A. Berry School,Public Schools,90111,200 Whittlesey Dr.,Bethel,6801,203-794-8680,01-07-1984,969,CT
West Hartford School District,Whiting Lane School,Public Schools,1551311,47 Whiting Ln.,West Hartford,6119,860-233-8541,01-07-1984,970,CT
Regional School District 19,E. O. Smith High School,Regional Schools,2196112,1235 Storrs Rd.,Storrs,6268,860-487-0877,01-07-2002,971,CT
Enfield School District,John F. Kennedy Middle School,Public Schools,495211,155 Raffia Rd.,Enfield,6082,860-763-8855,01-07-1984,972,CT
Danbury School District,Danbury School District,Public School Districts,340011,63 Beaver Brook Road,Danbury,6810,203-797-4701,01-07-1996,973,CT
Norwich School District,John B. Stanton School,Public Schools,1041411,386 New London Tpke.,Norwich,6360,860-823-4207,01-07-1984,974,CT
Hampton School District,Hampton School District,Public School Districts,630011,380 Main Street,Hampton,6247,860-455-9409,01-07-1996,975,CT
Hartford School District,Pathways Academy of Technology and Design,Public Schools,646611,2 Pent Road,East Hartford,6118,860-695-9450,01-07-2003,976,CT
Deep River School District,Deep River School District,Public School Districts,360011,1 Winthrop Road,Deep River,6417,860-526-2417,01-07-1996,977,CT
Bridgeport School District,Columbus School,Public Schools,150511,300 University Avenue,Bridgeport,6604,203-275-2100,01-07-1984,978,CT
Canterbury School District,Dr. Helen Baldwin Middle School,Public Schools,225111,45 Westminster Rd.,Canterbury,6331,860-546-9421,01-07-1997,979,CT
Norwalk School District,Jefferson Marine Science Elementary School,Public Schools,1030711,75 Van Buren Avenue,Norwalk,6850,203-899-2870,01-07-1984,980,CT
Kent School District,Kent Center School,Public Schools,680111,9 Judd Street,Kent,6757,860-927-3537,01-07-1984,981,CT
Danbury School District,Pembroke School,Public Schools,341511,34 1/2 Pembroke Rd.,Danbury,6811,203-797-4751,01-07-1984,982,CT
Colchester School District,William J. Johnston Middle School,Public Schools,285111,360 Norwich Ave.,Colchester,6415,860-537-2313,01-07-1997,983,CT
Seymour School District,Seymour School District,Public School Districts,1240011,"2 Botsford Road, Suite A",Seymour,6483,203-888-4564,01-07-1996,984,CT
Lisbon School District,Lisbon Central School,Public Schools,730111,15 Newent Rd.,Lisbon,6351,860-376-2403,01-07-1984,985,CT
Stafford School District,Stafford Elementary School,Public Schools,1340611,11 Levinthal Run,Stafford Springs,6076,860-684-6677,01-07-2007,986,CT
South Windsor School District,South Windsor High School,Public Schools,1326211,161 Nevers Rd.,South Windsor,6074,860-648-5000,01-07-1984,987,CT
Bethany School District,Bethany School District,Public School Districts,80011,44 Peck Road,Bethany,6524,203-393-1170,01-07-1996,988,CT
Winchester School District,Winchester School District,Public School Districts,1620011,338 Main Street,Winsted,6098,860-379-0706,01-07-1996,989,CT
Ashford School District,Ashford School,Public Schools,30111,440 Westford Rd.,Ashford,6278,860-429-6419,01-07-1998,990,CT
Bridgeport School District,John Winthrop School,Public Schools,153611,85 Eckart St.,Bridgeport,6606,203-576-7769,01-07-1984,991,CT
Regional School District 01,Housatonic Valley Regional High School,Regional Schools,2016112,246 Warren Turnpike Rd.,Falls Village,6031,860-824-5123,01-07-2002,992,CT
New Haven School District,Wilbur Cross High School,Public Schools,936111,181 Mitchell Dr.,New Haven,6511,475-220-7400,01-07-1984,993,CT
Glastonbury School District,Buttonball Lane School,Public Schools,540211,376 Buttonball Ln.,Glastonbury,6033,860-652-7276,01-07-1984,994,CT
Canton School District,Canton High School,Public Schools,236111,76 Simonds Avenue,Canton,6019,860-693-7707,01-07-1984,995,CT
Bridgeport School District,"Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School",Public Schools,150811,840 Old Town Road,Bridgeport,6606,203-275-3343,29-08-2013,996,CT
Waterbury School District,West Side Middle School,Public Schools,1515211,483 Chase Parkway,Waterbury,6708,203-574-8120,01-07-1984,997,CT
Hartford School District,Expeditionary Learning Academy at Moylan School,Public Schools,643211,101 Catherine Street,Hartford,6106,860-695-4500,01-07-1998,998,CT
East Lyme School District,Lillie B. Haynes School,Public Schools,450411,29 Society Rd.,Niantic,6357,860-739-2922,01-07-1984,999,CT
Ellington School District,Center School,Public Schools,480111,49 Main St.,Ellington,6029,860-896-2315,01-07-1984,1000,CT
Manchester School District,Highland Park School,Public Schools,770411,397 Porter St.,Manchester,6040,860-647-3430,30-08-2012,1001,CT
New Britain School District,Holmes Elementary School,Public Schools,890611,2150 Stanley St.,New Britian,6053,860-223-8294,01-07-1984,1002,CT
East Hampton School District,Center School,Public Schools,420311,7 Summit St.,East Hampton,6424,860-365-4050,01-07-1984,1003,CT
Orange School District,Turkey Hill School,Public Schools,1070411,441 Turkey Hill Rd.,Orange,6477,203-891-8040,01-07-1984,1004,CT
Watertown School District,John Trumbull Primary School,Public Schools,1530211,779 Buckingham St.,Oakville,6779,860-945-2776,01-07-1999,1005,CT
Unified School District #1,York Correctional Institution,State Agency Facilities,3362515,201 West Main St.,Niantic,6357,860-451-3228,01-07-2000,1006,CT
Regional School District 15,Pomperaug School,Regional Schools,2150512,607 Main St. S,Southbury,6488,203-264-8283,01-07-2002,1007,CT
Milford School District,Orchard Hills School,Public Schools,841811,185 Marino Dr.,Milford,6460,203-783-3566,01-07-1984,1008,CT
Southington School District,Zaya A. Oshana Elementary School,Public Schools,1310611,70 Church Street,Southington,6479,860-628-3450,01-07-1984,1009,CT
Fairfield School District,Jennings School,Public Schools,511711,31 Palm Dr.,Fairfield,6824,203-255-8316,01-07-1984,1010,CT
Hartford School District,Betances STEM Magnet School,Public Schools,643811,400 Wethersfield Avenue,Hartford,6114,860-695-2970,01-07-2012,1011,CT
Waterbury School District,Hopeville School,Public Schools,1511311,2 Cypress St.,Waterbury,6706,203-574-8173,01-07-1984,1012,CT
Suffield School District,Suffield School District,Public School Districts,1390011,350 Mountain Road,Suffield,6078,860-668-3800,01-07-1996,1013,CT
Plainville School District,Middle School of Plainville,Public Schools,1105211,150 Northwest Dr.,Plainville,6062,860-793-3250,01-07-1992,1014,CT
Hamden School District,Ridge Hill School,Public Schools,621111,120 Carew Rd.,Hamden,6517,203-407-2035,01-07-1984,1015,CT
New Haven School District,Fair Haven School,Public Schools,931611,164 Grand Ave.,New Haven,6513,475-220-2600,01-07-2007,1016,CT
New Hartford School District,Ann Antolini School,Public Schools,920311,30 Antolini Road,New Hartford,6057,860-489-4169,01-07-1984,1017,CT
Bridgeport School District,High Horizons Magnet School,Public Schools,154511,700 Palisade Ave.,Bridgeport,6610,203-576-7807,01-07-1997,1018,CT
Regional School District 07,Northwestern Regional Middle School,Regional Schools,2075112,100 Battistoni Dr.,Winsted,6098,860-379-7243,01-07-2002,1019,CT
Ridgefield School District,East Ridge Middle School,Public Schools,1185111,10 East Ridge Rd.,Ridgefield,6877,203-894-5500,01-07-1984,1020,CT
East Hartford School District,Dr. Thomas S. O'Connell School,Public Schools,431011,305 May Rd.,East Hartford,6118,860-622-5400,01-07-1984,1021,CT
Highville Charter School District,Highville Charter School District,Public Charter School Districts,2860013,One Science Park,New Haven,6511,203-287-0528,01-07-2007,1022,CT
Stamford School District,Davenport Ridge School,Public Schools,1352011,1300 Newfield Ave.,Stamford,6905,203-977-4291,01-07-1984,1023,CT
Franklin School District,Franklin School District,Public School Districts,530011,206 Pond Road,North Franklin,6254,860-642-6113,01-07-1996,1024,CT
Capitol Region Education Council,Academy of Aerospace and Engineering,Regional Education Service Center Schools,2415114,1101 Kennedy Road,Windsor,6095,860-243-0857,25-08-2008,1025,CT
Learn,Three Rivers Middle College Magnet School,Regional Education Service Center Schools,2456214,574 New London Turnpike,Norwich,6360,860-215-9055,27-08-2012,1026,CT
Coventry School District,Capt. Nathan Hale School,Public Schools,325111,1776 Main Street,Coventry,6238,860-742-7334,01-07-1984,1027,CT
Granby School District,Kelly Lane Primary School,Public Schools,560411,60 Kelly Ln.,Granby,6035,860-844-3041,01-07-1984,1028,CT
Windham School District,Natchaug School,Public Schools,1630111,123 Jackson St.,Willimantic,6226,860-465-2380,01-07-1984,1029,CT
North Haven School District,Clintonville Elementary School,Public Schools,1010811,456 Clintonville Rd.,North Haven,6473,203-239-5865,01-07-1984,1030,CT
Simsbury School District,Tootin' Hills School,Public Schools,1280411,25 Nimrod Rd.,West Simsbury,6092,860-658-7629,01-07-1984,1031,CT
Meriden School District,Benjamin Franklin School,Public Schools,800111,426 West Main St.,Meriden,6450,203-235-7997,01-07-1984,1032,CT
Greenwich School District,Central Middle School,Public Schools,575111,9 Indian Rock Ln.,Greenwich,6830,203-661-8500,01-07-1984,1033,CT
Manchester School District,Buckley School,Public Schools,770311,250 Vernon Street,Manchester,6042,860-647-3302,01-07-1984,1034,CT
Suffield School District,McAlister Intermediate School,Public Schools,1390311,260 Mountain Road,Suffield,6078,860-668-3830,01-07-2004,1035,CT
Lebanon School District,Lyman Memorial High School,Public Schools,716211,917 Exeter Rd.,Lebanon,6249,860-642-7567,01-07-1992,1036,CT
Bloomfield School District,Carmen Arace Middle School,Public Schools,115211,390 Park Avenue,Bloomfield,6002,860-286-2622,01-07-1984,1037,CT
Weston School District,Weston Intermediate School,Public Schools,1570211,95 School Rd.,Weston,6883,203-221-6330,01-07-2005,1038,CT
West Hartford School District,King Philip Middle School,Public Schools,1555111,100 King Philip Dr.,West Hartford,6117,860-233-8236,01-07-1984,1039,CT
Regional School District 18,Center School,Regional Schools,2180312,49 Lyme St.,Old Lyme,6371,860-434-7238,01-07-2002,1040,CT
Danbury School District,Shelter Rock School,Public Schools,341211,2 Crows Nest Rd.,Danbury,6810,203-797-4777,01-07-1984,1041,CT
Suffield School District,Suffield Middle School,Public Schools,1395111,350 Mountain Rd.,Suffield,6078,860-668-3820,01-07-1984,1042,CT
Fairfield School District,Fairfield School District,Public School Districts,510011,"501 Kings Highway East, Suite 210",Fairfield,6825,203-255-8371,01-07-1996,1043,CT
Cornwall School District,Cornwall Consolidated School,Public Schools,310111,5 Cream Hill Rd.,West Cornwall,6796,860-672-6617,01-07-1984,1044,CT
Connecticut Technical Education and Career System,W. F. Kaynor Technical High School,CT Technical Education and Career Schools,9002316,43 Tompkins St.,Waterbury,6708,203-596-4302,01-07-2000,1045,CT
Bethel School District,Bethel High School,Public Schools,96111,300 Whittlesey Dr.,Bethel,6801,203-794-8600,01-07-1984,1046,CT
Bridgeport School District,Barnum School,Public Schools,150111,495 Waterview Avenue,Bridgeport,6608,203-275-2300,01-07-1984,1047,CT
Stratford School District,Stratford School District,Public School Districts,1380011,1000 East Broadway,Stratford,6615,203-385-4210,01-07-1996,1048,CT
Killingly School District,Killingly Intermediate School,Public Schools,695211,1599 Upper Maple St.,Dayville,6241,860-779-6700,01-07-1990,1049,CT
Torrington School District,Vogel-Wetmore School,Public Schools,1431311,68 Church St.,Torrington,6790,860-489-2570,01-07-1987,1050,CT
Derby School District,Irving School,Public Schools,370411,9 Garden Place,Derby,6418,203-736-5043,01-07-1984,1051,CT
Darien School District,Ox Ridge Elementary School,Public Schools,351311,395 Mansfield Ave.,Darien,6820,203-655-2579,01-07-1984,1052,CT
Berlin School District,Emma Hart Willard School,Public Schools,70411,1088 Norton Rd.,Berlin,6037,860-828-4151,01-07-1984,1053,CT
